id,internal_id,title_abbreviation,address,price,price_per_unit_area,size_with_square_meter,construction_year,levels,bedrooms,bathrooms,date,extraction_date,geo_lat,geo_lng,company_title,account_id,ad_group_id,url,dimos,perioxi,type,area,price_per_area,level_list,min_level,level_length,temp_no,temp_date_unit,days_passed
814981443,47138678,Διαμέρισμα 23 τ.μ.,Αθήνα (Άνω Πατήσια),270.0,12,23 τ.μ.,,['4'],1.0,1.0,πριν από 2 ημέρες,2023-06-01,38.01644970673298,23.732061846366857,,795832.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814981443/athhna-anw-pathsia-270-23,Αθήνα,Άνω Πατήσια,Διαμέρισμα,23.0,11.73913043478261,[4.0],4.0,1,2,ημ,2
815025104,47140595,Διαμέρισμα 44 τ.μ.,Αθήνα (Άγιος Σώστης),630.0,14,44 τ.μ.,1970.0,['3'],1.0,1.0,πριν από 2 ημέρες,2023-06-01,37.95534774665138,23.719180562120613,Karasso Maya Moshe,1988028.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/815025104/athhna-agios-swsths-630-44,Αθήνα,Άγιος Σώστης,Διαμέρισμα,44.0,14.318181818181818,[3.0],3.0,1,2,ημ,2
814601986,47123033,Διαμέρισμα 80 τ.μ.,Αθήνα (Εξάρχεια),750.0,9,80 τ.μ.,1975.0,['4'],2.0,1.0,πριν από 1 εβδομάδα,2023-06-01,37.98605383506927,23.73440583058724,Attica Real Estate Management,1953963.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814601986/athhna-exarcheia-750-80,Αθήνα,Εξάρχεια,Διαμέρισμα,80.0,9.375,[4.0],4.0,1,1,εβ,7
741281961,44522729,Διαμέρισμα 71 τ.μ.,Αθήνα (Πεδίον Άρεως),480.0,7,71 τ.μ.,,['1'],2.0,1.0,πριν από 2 μήνες,2023-06-01,37.991286,23.741207,,964664.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/741281961/athhna-pedion-arews-480-71,Αθήνα,Πεδίον Άρεως,Διαμέρισμα,71.0,6.76056338028169,[1.0],1.0,1,2,μή,60
814603074,47123134,Διαμέρισμα 35 τ.μ.,Αθήνα (Πλατεία Αττικής),300.0,9,35 τ.μ.,1978.0,['1'],1.0,1.0,πριν από 1 εβδομάδα,2023-06-01,37.99434038563212,23.724767141803984,Energy Real Estate,2203409.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814603074/athhna-plateia-attikhs-300-35,Αθήνα,Πλατεία Αττικής,Διαμέρισμα,35.0,8.571428571428571,[1.0],1.0,1,1,εβ,7
815009415,47139759,Διαμέρισμα 35 τ.μ.,Αθήνα (Άνω Κυψέλη),400.0,11,35 τ.μ.,1980.0,['4'],1.0,1.0,πριν από 2 ημέρες,2023-06-01,38.00493059463576,23.73706724985917,,1275896.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/815009415/athhna-anw-kypselh-400-35,Αθήνα,Άνω Κυψέλη,Διαμέρισμα,35.0,11.428571428571429,[4.0],4.0,1,2,ημ,2
814506601,47118732,Διαμέρισμα 47 τ.μ.,Αθήνα (Κεραμεικός),480.0,10,47 τ.μ.,,['4'],1.0,1.0,πριν από 1 εβδομάδα,2023-06-01,37.98404675248744,23.716176532614764,,1330034.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814506601/athhna-kerameikos-480-47,Αθήνα,Κεραμεικός,Διαμέρισμα,47.0,10.212765957446809,[4.0],4.0,1,1,εβ,7
814823409,47132920,Διαμέρισμα 38 τ.μ.,Αθήνα (Άγιος Λουκάς),340.0,9,38 τ.μ.,1975.0,['4'],1.0,,πριν από 4 ημέρες,2023-06-01,38.01539636024373,23.738558271851627,Energy Real Estate,2203409.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814823409/athhna-agios-loykas-340-38,Αθήνα,Άγιος Λουκάς,Διαμέρισμα,38.0,8.947368421052632,[4.0],4.0,1,4,ημ,4
815020749,47140290,Διαμέρισμα 98 τ.μ.,Αθήνα (Κέντρο),600.0,6,98 τ.μ.,1976.0,['1'],2.0,1.0,πριν από 2 ημέρες,2023-06-01,37.975231,23.778793,Jaguar Real Estate,1411337.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/815020749/athhna-kentro-600-98,Αθήνα,Κέντρο,Διαμέρισμα,98.0,6.122448979591836,[1.0],1.0,1,2,ημ,2
814396726,47113917,Διαμέρισμα 38 τ.μ.,Αθήνα (Ηπείρου),350.0,9,38 τ.μ.,1970.0,['3'],1.0,1.0,πριν από 1 εβδομάδα,2023-06-01,37.99151,23.7245,One Real Estate,1168303.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814396726/athhna-hpeiroy-350-38,Αθήνα,Ηπείρου,Διαμέρισμα,38.0,9.210526315789474,[3.0],3.0,1,1,εβ,7
814822124,47132891,Διαμέρισμα 65 τ.μ.,Αθήνα (Ακαδημία Πλάτωνος),450.0,7,65 τ.μ.,1970.0,['1'],1.0,,πριν από 4 ημέρες,2023-06-01,37.9947112941584,23.706261853998218,Energy Real Estate,2203409.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814822124/athhna-akadhmia-platwnos-450-65,Αθήνα,Ακαδημία Πλάτωνος,Διαμέρισμα,65.0,6.923076923076923,[1.0],1.0,1,4,ημ,4
814935721,47137046,Διαμέρισμα 120 τ.μ.,Αθήνα (Κουκάκι),2000.0,17,120 τ.μ.,,['4'],2.0,1.0,πριν από 3 ημέρες,2023-06-01,37.96451674794192,23.72677121889725,,1663169.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814935721/athhna-koykaki-2000-120,Αθήνα,Κουκάκι,Διαμέρισμα,120.0,16.666666666666668,[4.0],4.0,1,3,ημ,3
814040122,47093388,Διαμέρισμα 34 τ.μ.,Αθήνα (Κυψέλη),250.0,7,34 τ.μ.,,['-0.5'],1.0,1.0,πριν από 2 εβδομάδες,2023-06-01,37.999204,23.736728,,1915183.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814040122/athhna-kypselh-250-34,Αθήνα,Κυψέλη,Διαμέρισμα,34.0,7.352941176470588,[-0.5],-0.5,1,2,εβ,14
815034775,47141161,Διαμέρισμα 30 τ.μ.,Αθήνα (Προφήτης Ηλίας),500.0,17,30 τ.μ.,1975.0,['3'],1.0,1.0,πριν από 2 ημέρες,2023-06-01,37.966688,23.749356,Papavlasopoulos Real Estate,383329.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/815034775/athhna-profhths-hlias-500-30,Αθήνα,Προφήτης Ηλίας,Διαμέρισμα,30.0,16.666666666666668,[3.0],3.0,1,2,ημ,2
814675910,47125865,Διαμέρισμα 150 τ.μ.,Αθήνα (Ακαδημία Πλάτωνος),650.0,4,150 τ.μ.,1975.0,['1'],3.0,2.0,πριν από 6 ημέρες,2023-06-01,37.99260857228801,23.70911007576284,,2266407.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814675910/athhna-akadhmia-platwnos-650-150,Αθήνα,Ακαδημία Πλάτωνος,Διαμέρισμα,150.0,4.333333333333333,[1.0],1.0,1,6,ημ,6
814886189,47134760,Διαμέρισμα 98 τ.μ.,Αθήνα (Άνω Κυψέλη),700.0,7,98 τ.μ.,2006.0,['1'],2.0,1.0,πριν από 3 ημέρες,2023-06-01,38.00449708390309,23.740312522594408,Art Real Estate,1616976.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814886189/athhna-anw-kypselh-700-98,Αθήνα,Άνω Κυψέλη,Διαμέρισμα,98.0,7.142857142857143,[1.0],1.0,1,3,ημ,3
814604170,47123310,Διαμέρισμα 80 τ.μ.,Αθήνα (Κάτω Πετράλωνα),780.0,10,80 τ.μ.,2009.0,['5'],3.0,1.0,πριν από 1 εβδομάδα,2023-06-01,37.97226571115044,23.708427453060512,,1537308.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814604170/athhna-katw-petralwna-780-80,Αθήνα,Κάτω Πετράλωνα,Διαμέρισμα,80.0,9.75,[5.0],5.0,1,1,εβ,7
814658651,47125104,Διαμέρισμα 126 τ.μ.,Αθήνα (Εξάρχεια),1500.0,12,126 τ.μ.,1933.0,['2'],3.0,,πριν από 6 ημέρες,2023-06-01,37.986494,23.735591,,590011.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814658651/athhna-exarcheia-1500-126,Αθήνα,Εξάρχεια,Διαμέρισμα,126.0,11.904761904761905,[2.0],2.0,1,6,ημ,6
814530495,47119691,Διαμέρισμα 55 τ.μ.,Αθήνα (Κολωνάκι),600.0,11,55 τ.μ.,1970.0,['2'],1.0,1.0,πριν από 1 εβδομάδα,2023-06-01,37.978709,23.739338,Τσαούσης - Σταυρόπουλος,215073.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814530495/athhna-kolwnaki-600-55,Αθήνα,Κολωνάκι,Διαμέρισμα,55.0,10.909090909090908,[2.0],2.0,1,1,εβ,7
815037032,47138788,Διαμέρισμα 70 τ.μ.,Αθήνα (Παγκράτι),600.0,9,70 τ.μ.,,['2'],2.0,,πριν από 2 ημέρες,2023-06-01,37.96876978734783,23.75004078883828,,,,https://www.xe.gr/property/d/enoikiaseis-katoikion/815037032/athhna-pagkrati-600-70,Αθήνα,Παγκράτι,Διαμέρισμα,70.0,8.571428571428571,[2.0],2.0,1,2,ημ,2
814971042,47138534,Διαμέρισμα 45 τ.μ.,Αθήνα (Παγκράτι),450.0,10,45 τ.μ.,1971.0,['0.5'],1.0,1.0,πριν από 3 ημέρες,2023-06-01,37.97010173725681,23.745383264610638,,1081978.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814971042/athhna-pagkrati-450-45,Αθήνα,Παγκράτι,Διαμέρισμα,45.0,10.0,[0.5],0.5,1,3,ημ,3
815037185,47140211,Διαμέρισμα 96 τ.μ.,Αθήνα (Άγιος Θωμάς),800.0,8,96 τ.μ.,,['2'],2.0,,πριν από 2 ημέρες,2023-06-01,37.98258531856988,23.76540875713288,,605364.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/815037185/athhna-agios-thwmas-800-96,Αθήνα,Άγιος Θωμάς,Διαμέρισμα,96.0,8.333333333333334,[2.0],2.0,1,2,ημ,2
813698557,47067864,Διαμέρισμα 50 τ.μ.,Αθήνα (Πλατεία Αττικής),380.0,8,50 τ.μ.,1974.0,"['0', '0.5']",1.0,1.0,πριν από 2 εβδομάδες,2023-06-01,37.99452,23.72534,One Real Estate,1168303.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/813698557/athhna-plateia-attikhs-380-50,Αθήνα,Πλατεία Αττικής,Διαμέρισμα,50.0,7.6,"[0.0, 0.5]",0.0,2,2,εβ,14
815037079,47141329,Διαμέρισμα 75 τ.μ.,Αθήνα (Κολωνάκι),1090.0,15,75 τ.μ.,,['4'],,,πριν από 2 ημέρες,2023-06-01,37.976345207875845,23.74903873132088,,517655.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/815037079/athhna-kolwnaki-1090-75,Αθήνα,Κολωνάκι,Διαμέρισμα,75.0,14.533333333333333,[4.0],4.0,1,2,ημ,2
814888188,47134820,Διαμέρισμα 70 τ.μ.,Αθήνα (Άγιος Θωμάς),700.0,10,70 τ.μ.,1975.0,['2'],2.0,1.0,πριν από 3 ημέρες,2023-06-01,37.98073792235824,23.758096419146064,Μεσιτικές Υπηρεσίες Θανασης Ευθυμιου,2117145.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814888188/athhna-agios-thwmas-700-70,Αθήνα,Άγιος Θωμάς,Διαμέρισμα,70.0,10.0,[2.0],2.0,1,3,ημ,3
814603286,47123175,Διαμέρισμα 85 τ.μ.,Αθήνα (Πλατεία Αμερικής),500.0,6,85 τ.μ.,1970.0,['1'],2.0,,πριν από 1 εβδομάδα,2023-06-01,38.00124054825746,23.733395798099803,Lion Real Estate,728410.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814603286/athhna-plateia-amerikhs-500-85,Αθήνα,Πλατεία Αμερικής,Διαμέρισμα,85.0,5.882352941176471,[1.0],1.0,1,1,εβ,7
